config_id,N,output,nrmse,rmse,r2
NN-M,20,efficiency,0.1384164984773902,0.020884690396083143,0.6161555400615061
NN-M,40,v_out_mean,0.031155642651753232,1.1442703057411612,0.9816738306505353
NN-M,40,i_l_mean,0.08614140397792291,1.0712866569700978,0.8637625066851145
NN-M,40,v_out_ripple,0.08863659831751325,0.08151735447861364,0.8316922328194484
NN-M,40,i_l_ripple,0.08596914506848671,0.6119650339861548,0.7925845661532464
NN-M,40,efficiency,0.0959885097043245,0.014642036462773554,0.7649022550795423
NN-M,60,v_out_mean,0.023657078925292657,0.8754091650034558,0.9889565015663111
NN-M,60,i_l_mean,0.07128870581477102,1.0317732211231074,0.885905554519094
NN-M,60,v_out_ripple,0.0819943344141709,0.11794081055395872,0.7601665670616831
NN-M,60,i_l_ripple,0.07132010645452018,0.5100641461857305,0.8696457196503588
NN-M,60,efficiency,0.06854036987522572,0.010588795445840196,0.8707610618575825
NN-M,80,v_out_mean,0.01711149776878427,0.7355607399601838,0.993796292340679
NN-M,80,i_l_mean,0.0545450883147571,0.7894400778320829,0.9214665951677337
NN-M,80,v_out_ripple,0.05676213419974055,0.08166911066472293,0.8626818736873303
NN-M,80,i_l_ripple,0.03118325780079323,0.25004598023474695,0.9732838629581011
NN-M,80,efficiency,0.046579073273417024,0.0071959967512123186,0.9276283529363066
NN-M,100,v_out_mean,0.01612073981326206,0.7026704572418305,0.9941547837852882
NN-M,100,i_l_mean,0.0593072907634349,1.1437941120066863,0.8657111950559042
NN-M,100,v_out_ripple,0.04913202888642792,0.07069094847963603,0.8828696266915411
NN-M,100,i_l_ripple,0.02873529778493922,0.23041677517702164,0.97359185538458
NN-M,100,efficiency,0.061064461337410184,0.010017942228517127,0.875430937295135
