model,N,output,rmse,nrmse,r2,train_s
POLY-3-L,150,efficiency,0.010059030968431843,0.03593104923057465,0.8985745952640792,0.002364832000239403
NN-M-tanh,10,v_out_mean,11.826886773466818,0.1259661516711112,0.5680991970427599,1.2248860220006463
NN-M-tanh,10,i_l_mean,4.37784432498364,0.11116555957060782,-0.0955744245121477,0.08605663500020455
NN-M-tanh,10,v_out_ripple,0.1264228363172286,0.1191752519257145,-0.07452295672232423,0.08310094700027548
NN-M-tanh,10,i_l_ripple,0.8442974783087418,0.12419125203569399,-0.15334263650651536,0.09589963300004456
NN-M-tanh,10,efficiency,0.03177273782635606,0.11349282158606533,-0.011914309643661802,0.08264747199973499
NN-M-tanh,15,v_out_mean,9.494619370048664,0.10112556977464293,0.72164549702709,0.1319615669999621
NN-M-tanh,15,i_l_mean,3.6278135892942034,0.09212020751177635,0.24766514334697043,0.15349507799965068
NN-M-tanh,15,v_out_ripple,0.12079951948682802,0.11387430931563504,0.01894116583721306,0.42219498099984776
NN-M-tanh,15,i_l_ripple,0.9864259628003063,0.1450975260592775,-0.5743321039330651,0.26986601800035714
NN-M-tanh,15,efficiency,0.028438200488511586,0.10158179102822248,0.18934011578811683,0.7523133790000429
NN-M-tanh,20,v_out_mean,6.845114969795523,0.07290615079074644,0.8553212902170395,0.36314012599996204
NN-M-tanh,20,i_l_mean,3.5294983709414254,0.0896237125587417,0.287889763542339,0.7234088109998993
NN-M-tanh,20,v_out_ripple,0.12314523718082496,0.11608555140822044,-0.01952969204203847,0.14962774800005718
NN-M-tanh,20,i_l_ripple,0.6270976782466373,0.0922424238031984,0.363735418076394,0.1789638019999984
NN-M-tanh,20,efficiency,0.0288625501450773,0.10309757604259322,0.16496657495735623,0.21681373000046733
NN-M-tanh,30,v_out_mean,7.149120606463218,0.07614406292018931,0.842184963241414,0.2941817909995734
NN-M-tanh,30,i_l_mean,3.2293756261248387,0.08200276709089954,0.40384610834901324,0.38971842099999776
NN-M-tanh,30,v_out_ripple,0.12548448094384868,0.1182906907081684,-0.058631168555334456,0.15057637900008558
NN-M-tanh,30,i_l_ripple,0.7504491974718568,0.11038671536708139,0.0888078744912556,0.1532427190004455
NN-M-tanh,30,efficiency,0.02616891455498891,0.09347585867235807,0.3135547923900982,0.1710058979997484
NN-M-tanh,40,v_out_mean,3.140498209108848,0.03344891020847213,0.9695462881950333,1.8234328379994622
NN-M-tanh,40,i_l_mean,2.3849106822438504,0.06055946964686746,0.6748636733450446,1.784802647000106
NN-M-tanh,40,v_out_ripple,0.11651306374296388,0.10983358805020162,0.08732977166002676,0.2635533230004512
NN-M-tanh,40,i_l_ripple,0.5363339965856955,0.07889161374579874,0.5345875295071003,0.23150977900058933
NN-M-tanh,40,efficiency,0.01838294343292341,0.06566422228583832,0.6612614995397031,1.5183213870004693
NN-M-tanh,50,v_out_mean,5.498346760615778,0.05856195254544289,0.9066514911673125,0.5240611780000108
NN-M-tanh,50,i_l_mean,2.732836897036419,0.06939427725662502,0.5730778553990431,0.6340428109997447
NN-M-tanh,50,v_out_ripple,0.07552099503189523,0.0711915178522238,0.6165576778459473,0.5869754060004198
NN-M-tanh,50,i_l_ripple,0.23062516203495448,0.033923620951029486,0.9139440823182672,2.1107646679993195
NN-M-tanh,50,efficiency,0.019057509114569927,0.06807378368320975,0.6359452253147451,0.7971963199997845
NN-M-tanh,75,v_out_mean,2.0359795171436113,0.021684870208714308,0.9872005902527763,1.9424470710000605
NN-M-tanh,75,i_l_mean,2.6881436257882987,0.06825939165117197,0.5869275834983403,0.6673794219996125
NN-M-tanh,75,v_out_ripple,0.08089551529721907,0.07625792693825804,0.5600396581299193,0.6091973689999577
NN-M-tanh,75,i_l_ripple,0.24968711342153477,0.036727523212688566,0.8991305575930506,1.0139871280007355
NN-M-tanh,75,efficiency,0.021398121276680164,0.0764344946791692,0.5410284687779738,0.6651771380002174
NN-M-tanh,100,v_out_mean,1.2818619240636113,0.013652892484797773,0.9949262901386786,3.7205168410000624
NN-M-tanh,100,i_l_mean,3.5257057531513296,0.08952740751736155,0.28941933551972643,0.4229915189998792
NN-M-tanh,100,v_out_ripple,0.05894464227310445,0.05556545634636286,0.7664105026985877,1.1261444399997345
NN-M-tanh,100,i_l_ripple,0.3528387684808348,0.051900532158575714,0.7985719455099918,0.7068290990000605
NN-M-tanh,100,efficiency,0.012486015703072164,0.04460028469230912,0.8437276249768447,2.653425924999283
NN-M-tanh,125,v_out_mean,1.6034274550910796,0.01707783205084503,0.9920614393949686,2.1942241380002088
NN-M-tanh,125,i_l_mean,1.958778094016129,0.04973878619970467,0.780673183952867,1.3910981850003736
NN-M-tanh,125,v_out_ripple,0.049921709572602634,0.04705979147587356,0.8324503449485334,2.4370921740000995
NN-M-tanh,125,i_l_ripple,0.14796912886915606,0.021765398865933313,0.9645750213688832,2.5842860550001205
NN-M-tanh,125,efficiency,0.014193839084505269,0.050700662172801725,0.7980544843995399,1.4765607589997671
NN-M-tanh,150,v_out_mean,1.0623363548545328,0.011314763129512507,0.9965152853486621,2.6787643060006303
NN-M-tanh,150,i_l_mean,1.3166838568287857,0.033434239972090614,0.900897575594017,2.3497035909995247
NN-M-tanh,150,v_out_ripple,0.02527059122413067,0.023821875565981945,0.9570665839863788,8.885110567000083
NN-M-tanh,150,i_l_ripple,0.08010533534722115,0.01178302926053821,0.9896177794916727,7.5342873950003195
NN-M-tanh,150,efficiency,0.011624921563870856,0.04152444010997308,0.8645389238130194,1.9646100669997395
RBF-C,10,v_out_mean,9.03864975753838,0.09626911528522096,0.7477389207279681,0.0005349670000214246
RBF-C,10,i_l_mean,3.0313179837670408,0.07697353649119744,0.47472800219290723,0.0004133890006414731
RBF-C,10,v_out_ripple,0.1190546801651292,0.11222949836382591,0.04707749306741826,0.0003256309992138995
RBF-C,10,i_l_ripple,0.8126058317793771,0.11952959502181953,-0.0683836482581266,0.00045914600013929885
RBF-C,10,efficiency,0.02401315365064122,0.08577543987192361,0.42199331872436463,0.0003005260005011223
RBF-C,15,v_out_mean,6.708970296441656,0.0714560971205463,0.861019179433343,0.00034637600037967786
RBF-C,15,i_l_mean,3.072067356120692,0.07800827561017276,0.4605108382575098,0.0004654419999496895
RBF-C,15,v_out_ripple,0.10323964237171615,0.09732110706246855,0.28343164960080536,0.0003650110002126894
RBF-C,15,i_l_ripple,0.7348894150567051,0.10809796180665204,0.12620139488818116,0.0003913390000889194
RBF-C,15,efficiency,0.024384354847618094,0.08710137758151827,0.4039852627563155,0.00035431400010565994
RBF-C,20,v_out_mean,4.11380585856024,0.043815443797726054,0.9477446551631148,0.0004087959996468271
RBF-C,20,i_l_mean,2.9574295576375156,0.07509730526259821,0.5000229436517794,0.0003692939999382361
RBF-C,20,v_out_ripple,0.09559850295339299,0.09011801985365807,0.38557790883290166,0.00035998300063511124
RBF-C,20,i_l_ripple,0.6161601573244764,0.09063357804398715,0.38573667358764574,0.0004231259999869508
RBF-C,20,efficiency,0.024190784706613826,0.08640994136983735,0.41341038262829466,0.0003559699998731958
RBF-C,30,v_out_mean,3.318541340939665,0.03534521720605965,0.9659954056896323,0.0004850850000366336
RBF-C,30,i_l_mean,2.4935124745968826,0.06331716912658591,0.6445779661975463,0.0004176069996901788
RBF-C,30,v_out_ripple,0.06744105348724294,0.06357478422102494,0.6942170045099371,0.0005190969995965133
RBF-C,30,i_l_ripple,0.48277568154097183,0.07101349688152679,0.622898609188125,0.0004144490003454848
RBF-C,30,efficiency,0.016696220541843217,0.05963921615672529,0.720571432403295,0.0004806139995707781
RBF-C,40,v_out_mean,2.298541978418781,0.024481378153165805,0.9836864674891794,0.00047136600005615037
RBF-C,40,i_l_mean,2.159544932437804,0.05483681077061052,0.7334088387850006,0.0005333500002961955
RBF-C,40,v_out_ripple,0.056250214692348935,0.05302549525162533,0.7872777058693637,0.00047033200007717824
RBF-C,40,i_l_ripple,0.4246051560353873,0.062456950664446835,0.7082990187592915,0.0005456590006360784
RBF-C,40,efficiency,0.015916036370670905,0.056852383513373995,0.746075676060957,0.00046830800056341104
RBF-C,50,v_out_mean,2.2011404234243064,0.023443970821511815,0.9850397575277974,0.0006601749992114492
RBF-C,50,i_l_mean,2.1185528837528955,0.05379590942928187,0.7434335435516697,0.0005840399999215151
RBF-C,50,v_out_ripple,0.05514869167913105,0.05198712048938846,0.7955274245952382,0.0005449569998745574
RBF-C,50,i_l_ripple,0.2626651017972271,0.038636509875198205,0.8883722647420307,0.0005917930002397043
RBF-C,50,efficiency,0.01558190815220154,0.05565887118551419,0.7566251262981758,0.0005271519994494156
RBF-C,75,v_out_mean,1.430319750247783,0.015234091443414088,0.9936830214174142,0.000783606999902986
RBF-C,75,i_l_mean,1.770252745432707,0.044951606868334014,0.8208603132954493,0.0007483160006813705
RBF-C,75,v_out_ripple,0.04620826707909904,0.04355923368452273,0.8564497336048069,0.0007967870005813893
RBF-C,75,i_l_ripple,0.21811742472195245,0.03208380548676103,0.9230252856881362,0.000686776000293321
RBF-C,75,efficiency,0.013044617073426489,0.0465956193723053,0.8294321682668336,0.0007582690004710457
RBF-C,100,v_out_mean,1.3478313176622274,0.014355521232232599,0.9943906282902701,0.0009688749996712431
RBF-C,100,i_l_mean,1.4895135945982092,0.03782286439163325,0.8731734438437373,0.0009383730002809898
RBF-C,100,v_out_ripple,0.041232211102269226,0.03886844567572424,0.8857021953752839,0.0009368669998366386
RBF-C,100,i_l_ripple,0.19255310976788717,0.028323443335804558,0.940011440026132,0.00093117800042819
RBF-C,100,efficiency,0.011843039893791481,0.0423035629176336,0.859407924115546,0.0009349539996037493
RBF-C,125,v_out_mean,1.0245133643981912,0.01091191691615674,0.9967590047887745,0.0011811900003522169
RBF-C,125,i_l_mean,1.2050911304153082,0.030600592415239596,0.9169841465246813,0.0011387920003471663
RBF-C,125,v_out_ripple,0.03865431533558083,0.0364383358444401,0.8995475323587023,0.0011703869995471905
RBF-C,125,i_l_ripple,0.1835026399788813,0.02699217183081394,0.9455181311761645,0.0011948259998462163
RBF-C,125,efficiency,0.009726350007540529,0.03474270653420813,0.9051725118917477,0.0012577170000440674
RBF-C,150,v_out_mean,0.9030313186650484,0.009618032389210154,0.9974820403943596,0.001397813000039605
RBF-C,150,i_l_mean,1.1242729892122287,0.02854839658017406,0.9277455148539985,0.0014523330000884016
RBF-C,150,v_out_ripple,0.036911788077219045,0.03479570440970785,0.9084001406503905,0.001355579000119178
RBF-C,150,i_l_ripple,0.16378045437655112,0.024091152953273177,0.9565998224509547,0.001375783000185038
RBF-C,150,efficiency,0.009247574941284442,0.03303251292510137,0.9142784178851595,0.0014269530001911335
