strategy,seed,output,rmse,nrmse,r2,mae
random,29,efficiency,0.21547069702462576,0.09238965059306525,0.30184480574558825,0.13592194703678473
lhs,0,v_out_mean,0.6930643468224121,0.0076024319454420005,0.9985602643766862,0.40284887580937134
lhs,0,i_l_mean,0.9262723016437843,0.02454367231532499,0.9592291358279761,0.4870360322303701
lhs,0,v_out_ripple,0.03593081610267816,0.026441806036300673,0.9341604457721865,0.01709556469084196
lhs,0,i_l_ripple,0.039082057357303863,0.006482754811443534,0.9982007523720193,0.01144933513970661
lhs,0,efficiency,0.38096734771913754,0.16335140058100456,-1.1824839026021858,0.2386145761249944
lhs,1,v_out_mean,0.7733266425032503,0.0084828532850999,0.9982074900310113,0.3688299552281425
lhs,1,i_l_mean,0.9123679672452678,0.024175245637085476,0.9604439770872113,0.48633415542872493
lhs,1,v_out_ripple,0.03834848703146574,0.028220991501387814,0.9250020854168401,0.017697096232647064
lhs,1,i_l_ripple,0.08442425773296701,0.014003913816954117,0.9916040352764338,0.01843840735292377
lhs,1,efficiency,0.19152418000085394,0.08212184911797969,0.4484018973988133,0.11814277549950988
lhs,2,v_out_mean,0.6711560320362833,0.007362113029940864,0.9986498481063318,0.45391029326748417
lhs,2,i_l_mean,0.7787136027060318,0.020633772011087397,0.9711843723311365,0.49337351053996104
lhs,2,v_out_ripple,0.06996007657530655,0.05148424043035067,0.75039500554739,0.0280870208830412
lhs,2,i_l_ripple,0.02895123968861471,0.004802300622834194,0.9990126515856079,0.011524286136189823
lhs,2,efficiency,0.1692322710776948,0.07256351146509817,0.5693326919517786,0.10459730800961695
lhs,3,v_out_mean,1.047121139531044,0.011486187737714124,0.9967135313869544,0.4675525083535048
lhs,3,i_l_mean,1.0673371222378416,0.028281502676587512,0.945865292961489,0.5591501691816874
lhs,3,v_out_ripple,0.041123925995001,0.03026346163425854,0.9137534251751134,0.01645404197517594
lhs,3,i_l_ripple,0.09564911344009962,0.015865842084391502,0.9892229970637619,0.02061389631644341
lhs,3,efficiency,0.18951094196863755,0.08125861174544784,0.45993737752115993,0.1095476896290972
lhs,4,v_out_mean,0.6878544051684804,0.007545282523392898,0.9985818287390531,0.4066546041226338
lhs,4,i_l_mean,1.4096909354524871,0.03735293857349467,0.9055677416296319,0.7230037503545985
lhs,4,v_out_ripple,0.045127074024141456,0.03320941375008709,0.8961450814349516,0.01599692551806136
lhs,4,i_l_ripple,0.09145261569914946,0.015169746030065632,0.990147910094436,0.021001961226711944
lhs,4,efficiency,0.2016624588364088,0.08646894620434095,0.38845889066940253,0.11464803107762689
lhs,5,v_out_mean,0.6424235100066211,0.007046937326049995,0.9987629749730783,0.41246637168213357
lhs,5,i_l_mean,1.1639861840711472,0.030842437402812846,0.9356174442304397,0.6468353096784705
lhs,5,v_out_ripple,0.03515462559670374,0.02587060056332885,0.9369743007542423,0.015061055308975885
lhs,5,i_l_ripple,0.04264484063176285,0.007073733177896217,0.9978577552126352,0.011955642608987847
lhs,5,efficiency,0.19467404482164483,0.08347244998495047,0.4301092008681787,0.1163587211830254
lhs,6,v_out_mean,1.1786916912558958,0.012929424819665396,0.9958357568633917,0.5064294329540652
lhs,6,i_l_mean,1.3135026635622125,0.03480421351536356,0.9180149855904594,0.5941602569819326
lhs,6,v_out_ripple,0.03877404674401336,0.02853416466572374,0.9233283202900655,0.01611869796091177
lhs,6,i_l_ripple,0.07914501588378613,0.013128217069834035,0.9926212423847418,0.018455762679914108
lhs,6,efficiency,0.16815785249872006,0.07210282164289543,0.5747837576372983,0.10172488126346332
lhs,7,v_out_mean,0.7635073317423023,0.008375142302485495,0.9982527218019543,0.4019461823312982
lhs,7,i_l_mean,1.2768853976986938,0.03383395652630922,0.9225223565768131,0.5473579742146466
lhs,7,v_out_ripple,0.03986597953498264,0.02933772768474835,0.9189491455312422,0.017275308925951072
lhs,7,i_l_ripple,0.03832308982207426,0.006356860711351599,0.9982699560447095,0.015305016967204698
lhs,7,efficiency,0.1838847966538219,0.07884622989028439,0.4915278297323381,0.11433332514981942
lhs,8,v_out_mean,0.9067666612369926,0.009946597114764427,0.997535511915549,0.4078967151855304
lhs,8,i_l_mean,0.8536724056307762,0.02261997444083625,0.9653697961121624,0.47380777181412514
lhs,8,v_out_ripple,0.07412144022104696,0.054546624820750844,0.7198178797949669,0.03202979677684831
lhs,8,i_l_ripple,0.02429259972677122,0.0040295465082972855,0.9993048410927938,0.00987875640996556
lhs,8,efficiency,0.21608439472228982,0.09265279224824109,0.2978622095051865,0.1322361978140584
lhs,9,v_out_mean,0.8306913546936275,0.009112104122337034,0.9979316929342886,0.4180941451814504
lhs,9,i_l_mean,0.9774329582276747,0.025899289220206567,0.9546009756517448,0.6445085945504521
lhs,9,v_out_ripple,0.09753953752298858,0.07178021018735214,0.5148074733040006,0.03908352670319121
lhs,9,i_l_ripple,0.052976224934881994,0.008787456452175203,0.9966940360149972,0.013245586816244753
lhs,9,efficiency,0.2723090794603765,0.11676084521965464,-0.11506397350825992,0.14449746250843384
lhs,10,v_out_mean,0.9690681520152941,0.01063000096595544,0.9971852211691965,0.4755303872359947
lhs,10,i_l_mean,0.7365650562290932,0.01951695127547713,0.9742192952876403,0.44071510050943036
lhs,10,v_out_ripple,0.03034928738353017,0.02233430958100161,0.9530268467404542,0.01735658268687842
lhs,10,i_l_ripple,0.04847867318149874,0.008041422920664797,0.9972315444597587,0.017812165029083327
lhs,10,efficiency,0.1756318899672598,0.07530754376879521,0.5361449491299448,0.10980355139891636
lhs,11,v_out_mean,0.8179415118058573,0.008972247248565128,0.9979946963972554,0.42105811274211363
lhs,11,i_l_mean,1.0173507013862815,0.02695699979399087,0.9508171218920368,0.5660138140727118
lhs,11,v_out_ripple,0.031129945703182754,0.022908802957658854,0.9505792371145422,0.015854275749631955
lhs,11,i_l_ripple,0.04888924989949205,0.008109527528610685,0.9971844525472596,0.010150906402554219
lhs,11,efficiency,0.18348962187455992,0.07867678661895626,0.49371092994252996,0.11473908748601354
lhs,12,v_out_mean,1.266835170446207,0.013896297239306006,0.9951896590656203,0.49157333800816005
lhs,12,i_l_mean,1.224741686453247,0.032452291372507235,0.9287210059345996,0.5965380472862012
lhs,12,v_out_ripple,0.037505440238655534,0.027600585894364843,0.9282633232375707,0.016917137402388482
lhs,12,i_l_ripple,0.025248884683477593,0.004188170729318258,0.9992490336089223,0.010256028222577592
lhs,12,efficiency,0.1731544950901516,0.0742452849547769,0.5491385732526561,0.10505432526896791
lhs,13,v_out_mean,0.9341591183540652,0.010247073242278087,0.9973843637417862,0.35909247814467243
lhs,13,i_l_mean,0.8025310937001494,0.021264870116142937,0.9693947241916004,0.4761475490420405
lhs,13,v_out_ripple,0.03480385694779381,0.02561246680562107,0.9382257518111043,0.01824902022308123
lhs,13,i_l_ripple,0.031104518485361554,0.005159476765133191,0.9988603196286724,0.00914693248328295
lhs,13,efficiency,0.19165838404126428,0.0821793932043585,0.4476285994278456,0.10997965219680873
lhs,14,v_out_mean,0.6770786445000267,0.0074270799531439904,0.9986259141527978,0.42365295461155744
lhs,14,i_l_mean,1.2910475365655611,0.03420921431499153,0.9207941920452946,0.6336476424585583
lhs,14,v_out_ripple,0.04940674036003365,0.03635885813872463,0.8755126784788984,0.020277183537849
lhs,14,i_l_ripple,0.02728327663147193,0.004525626459159909,0.9991231422270362,0.010224992152059267
lhs,14,efficiency,0.2013832243653576,0.08634921588569344,0.3901512744115636,0.12011659473000726
lhs,15,v_out_mean,0.7796238809960266,0.008551929594255098,0.9981781781698259,0.42879008881916675
lhs,15,i_l_mean,0.8402937395045527,0.0222654765282511,0.9664467326306296,0.4849979660939001
lhs,15,v_out_ripple,0.044469149181601685,0.03272524102706331,0.899151287225241,0.013849625276284647
lhs,15,i_l_ripple,0.0679661107225027,0.011273910870996285,0.994558471093312,0.019402293330393516
lhs,15,efficiency,0.21976529672825643,0.09423109154784237,0.2737372530042569,0.13988884010981678
lhs,16,v_out_mean,0.64789005501786,0.007106901507752864,0.998741833082257,0.38953096756062705
lhs,16,i_l_mean,0.7772015612510353,0.020593707064815375,0.9712961672778777,0.4529576481122854
lhs,16,v_out_ripple,0.05263196953199075,0.03873233287260777,0.8587293437183487,0.015346892881775492
lhs,16,i_l_ripple,0.04344493631868417,0.007206449429668339,0.9977766162193222,0.011609791716743357
lhs,16,efficiency,0.18572268924229918,0.07963428254162748,0.48131287549159063,0.11167234464899459
lhs,17,v_out_mean,0.708500587481667,0.007771756726962641,0.9984954173006403,0.4446708655983038
lhs,17,i_l_mean,0.9478723056191415,0.025116013103924716,0.9573054706193236,0.5705973695286387
lhs,17,v_out_ripple,0.04083950368607294,0.030054152736192295,0.9149423010086617,0.011804009468612759
lhs,17,i_l_ripple,0.09034367946682711,0.014985800706257641,0.9903853904580207,0.022226142650033948
lhs,17,efficiency,0.23721155693466658,0.10171170913011027,0.15385025399668772,0.12009074263010748
lhs,18,v_out_mean,1.00551723009901,0.011029821901595857,0.9969694973502399,0.4543122347012225
lhs,18,i_l_mean,1.5732032655976216,0.041685566293740116,0.8823905442596137,0.5902178183321604
lhs,18,v_out_ripple,0.04645696802636508,0.034188094533600256,0.8899336806405391,0.012178820035397999
lhs,18,i_l_ripple,0.04190892081702351,0.006951662129378438,0.9979310544628327,0.011039339720716216
lhs,18,efficiency,0.22949599963122494,0.09840342798915179,0.2079989090669404,0.1377928280535492
lhs,19,v_out_mean,0.8635654749467467,0.00947271026682632,0.9977647496247782,0.4993500360557216
lhs,19,i_l_mean,0.7682816771429818,0.020357354631248884,0.9719512498911059,0.5000339629071032
lhs,19,v_out_ripple,0.0437635834776197,0.032206008971847985,0.9023261131008624,0.013272169937076157
lhs,19,i_l_ripple,0.10196779601233337,0.016913956554738787,0.9877520848815778,0.022892859412363627
lhs,19,efficiency,0.20994228616672259,0.09001917537509069,0.3372108586020732,0.13022470540055797
lhs,20,v_out_mean,0.7258636240415502,0.00796221711410842,0.998420768857468,0.46034271525010195
lhs,20,i_l_mean,1.1223486154128142,0.029739156176176344,0.9401411854191635,0.6884573606895596
lhs,20,v_out_ripple,0.04163275407142425,0.030637912725604743,0.9116059564599305,0.0158037975748519
lhs,20,i_l_ripple,0.07038509254377487,0.01167516062858398,0.9941642392973126,0.020206493957209054
lhs,20,efficiency,0.20331652889014987,0.08717817932249494,0.37838581886233114,0.11285893499841444
lhs,21,v_out_mean,0.8830772979185513,0.009686741340499001,0.9976625998125667,0.38791203744910524
lhs,21,i_l_mean,1.4447322557585365,0.03828143733305141,0.900814702558331,0.6059602063536815
