strategy,N,rep,output,rmse,nrmse,r2,mae
lhs,60,6,i_l_ripple,0.13596893521176515,0.022553911655477214,0.9782221252185747,0.04468683719421178
lhs,60,6,efficiency,0.2573656624811182,0.1103533982097145,0.003960075225277637,0.15275099812168386
lhs,60,7,v_out_mean,1.2524828952742584,0.013738862802291234,0.9952980366302441,0.6197366921248783
lhs,60,7,i_l_mean,1.9094089367983749,0.05059409331096981,0.826751108896564,0.7533627362202303
lhs,60,7,v_out_ripple,0.05846972326527077,0.04302838758681102,0.8256528729042572,0.021930210543150613
lhs,60,7,i_l_ripple,0.07068929828142569,0.011725620899684729,0.9941136857438592,0.01971953154377802
lhs,60,7,efficiency,0.327705773440062,0.14051387183287048,-0.6148929027779519,0.22081144004555953
lhs,60,8,v_out_mean,1.6088113725157958,0.017647537387662598,0.9922420694130529,0.809647882047822
lhs,60,8,i_l_mean,2.2206951696160715,0.05884232364344461,0.7656578243933363,1.1050384239038455
lhs,60,8,v_out_ripple,0.08385612206773026,0.06171046347333049,0.6413901057249075,0.030536625293314433
lhs,60,8,i_l_ripple,0.09902099046376804,0.016425153785895295,0.9884497699206539,0.028561676022255927
lhs,60,8,efficiency,0.30641782405356677,0.1313860125331144,-0.4118988641114154,0.1577971615491952
lhs,60,9,v_out_mean,1.4835002269098332,0.01627296162014182,0.9934035409841322,0.7860259756957068
lhs,60,9,i_l_mean,1.0066009489183152,0.026672160873970903,0.9518510043323627,0.6664621316331563
lhs,60,9,v_out_ripple,0.06440162008589122,0.04739372303340844,0.7884825003936645,0.022747205339195782
lhs,60,9,i_l_ripple,0.1286235030322366,0.02133548460675196,0.9805115737509995,0.031035072476004802
lhs,60,9,efficiency,0.2343288572134293,0.10047566346966763,0.1742908647015885,0.1307868469789881
lhs,80,0,v_out_mean,0.6994743883888213,0.00767274562554906,0.9985335094500448,0.4381791434687757
lhs,80,0,i_l_mean,1.0206386719052116,0.027044121983498058,0.950498700386278,0.6362770568469172
lhs,80,0,v_out_ripple,0.05536669228656376,0.04074483958642237,0.8436672828858693,0.01608084486073739
lhs,80,0,i_l_ripple,0.1379357158814869,0.022880152332448896,0.9775875378234257,0.030794514943863104
lhs,80,0,efficiency,0.20311677985679,0.08709253081597755,0.3796066329143306,0.1257913137115872
lhs,80,1,v_out_mean,0.6934154077139911,0.0076062828382907986,0.9985588054562152,0.41416152732197226
lhs,80,1,i_l_mean,1.6262857268314483,0.04309210574429039,0.8743199738017946,0.7736621692982771
